    , Unnamed: 0, committee_id, document                                        , received, due     , pages, pdf_url                                                  , pdf
   3,          3,        97221, Post-Election Stmt - 11/05/2024 General Election, 12/06/24, 12/06/24,     4, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/2266.PDF, /2266.PDF
  19,         19,        96945, Post-Election Stmt - 11/05/2024 General Election, 12/06/24, 12/06/24,     5, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/2427.PDF, /2427.PDF
  49,         49,        96961, Post-Election Stmt - 11/05/2024 General Election, 12/04/24, 12/05/24,     4, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/2425.PDF, /2425.PDF
  69,         69,        96976, Post-Election Stmt - 11/05/2024 General Election, 11/13/24, 12/05/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/2423.PDF, /2423.PDF
  86,         86,        97019, Post-Election Stmt - 11/05/2024 General Election, 12/04/24, 12/05/24,     3, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/2990.PDF, /2990.PDF
 104,        104,        97073, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     5, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/2992.PDF, /2992.PDF
 114,        114,        96566, Post-Election Stmt - 11/05/2024 General Election, 12/06/24, 12/06/24,     3, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/2994.PDF, /2994.PDF
 132,        132,        97037, Post-Election Stmt - 11/05/2024 General Election, 11/26/24, 12/05/24,     3, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/2996.PDF, /2996.PDF
 144,        144,        96902, Post-Election Stmt - 11/05/2024 General Election, 11/12/24, 12/05/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/2998.PDF, /2998.PDF
 152,        152,        96314, Post-Election Stmt - 11/05/2024 General Election, 11/20/24, 12/05/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3000.PDF, /3000.PDF
 182,        182,        97031, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     8, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3003.PDF, /3003.PDF
 193,        193,        97036, Post-Election Stmt - 11/05/2024 General Election, 12/04/24, 12/05/24,     7, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3006.PDF, /3006.PDF
 204,        204,        97062, Post-Election Stmt - 11/05/2024 General Election, 12/03/24, 12/05/24,     7, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3008.PDF, /3008.PDF
 216,        216,        96898, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     4, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3010.PDF, /3010.PDF
 250,        250,        97027, Post-Election Stmt - 11/05/2024 General Election, 12/04/24, 12/05/24,     5, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3012.PDF, /3012.PDF
 279,        279,        97030, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,    13, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3014.PDF, /3014.PDF
 300,        300,        96897, Post-Election Stmt - 11/05/2024 General Election, 12/03/24, 12/05/24,     6, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3016.PDF, /3016.PDF
 335,        335,        96891, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     5, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3018.PDF, /3018.PDF
 375,        375,        97088, Post-Election Stmt - 11/05/2024 General Election, 11/26/24, 12/05/24,     4, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3020.PDF, /3020.PDF
 386,        386,        97145, Post-Election Stmt - 11/05/2024 General Election, 12/12/24, 12/06/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3029.PDF, /3029.PDF
 403,        403,        97126, Post-Election Stmt - 11/05/2024 General Election, 12/06/24, 12/06/24,     3, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3034.PDF, /3034.PDF
 413,        413,        97035, Post-Election Stmt - 11/05/2024 General Election, 11/20/24, 12/05/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3045.PDF, /3045.PDF
 424,        424,        96895, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     8, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3047.PDF, /3047.PDF
 455,        455,        97084, Post-Election Stmt - 11/05/2024 General Election, 12/02/24, 12/05/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3049.PDF, /3049.PDF
 469,        469,        97032, Post-Election Stmt - 11/05/2024 General Election, 12/04/24, 12/05/24,     5, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3051.PDF, /3051.PDF
 484,        484,        97041, Post-Election Stmt - 11/05/2024 General Election, 12/09/24, 12/06/24,     5, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3054.PDF, /3054.PDF
 501,        501,        97209, Post-Election Stmt - 11/05/2024 General Election, 11/25/24, 12/05/24,     3, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3056.PDF, /3056.PDF
 531,        531,        97111, Post-Election Stmt - 11/05/2024 General Election, 12/04/24, 12/05/24,     5, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3064.PDF, /3064.PDF
 542,        542,        96499, Post-Election Stmt - 11/05/2024 General Election, 12/03/24, 12/05/24,     4, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3067.PDF, /3067.PDF
 600,        600,        97042, Post-Election Stmt - 11/05/2024 General Election, 11/27/24, 12/05/24,     6, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3069.PDF, /3069.PDF
 613,        613,        97026, Post-Election Stmt - 11/05/2024 General Election, 11/26/24, 12/05/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3071.PDF, /3071.PDF
 631,        631,        96334, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     8, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3073.PDF, /3073.PDF
 701,        701,        97083, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3076.PDF, /3076.PDF
 722,        722,        97020, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3083.PDF, /3083.PDF
 739,        739,        97095, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3087.PDF, /3087.PDF
 754,        754,        97117, Post-Election Stmt - 11/05/2024 General Election, 12/06/24, 12/06/24,    10, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3090.PDF, /3090.PDF
 767,        767,        97057, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     7, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3092.PDF, /3092.PDF
